"","symbol","conc_0nM","conc_20nM","conc_200nM","conc_2000nM"
"296","CG3008",1,0.844609000689018,0.747379556645181,0.739274967767305
"297","CG30089",0.397786128565065,0.652373341547426,0.841896150238062,1
"298","CG3009",0.35916956276149,0.630647805791952,0.845719311388846,1
"299","CG30159",1,0.784161817446856,0.509897854504783,0.50043903549595
"300","CG30183",1,0.935429189266531,0.796941659543616,0.665333793798694
"301","CG30377",1,0.466690646232269,0.170767994485228,0.148540425745066
"302","CG30440",0.713892324381606,0.775398280348411,0.87648392426792,1
"303","CG30460",1,0.687232079679577,0.492680273756285,0.432364963407674
"304","CG31028",1,0.924960549124532,0.430634485221217,0.511979622026629
"305","CG31051",0.0506834572258013,0.22110679271431,0.50231293151959,1
"306","CG3107",0.81634877990041,0.882183917025032,0.996980625166462,1
"307","CG31075",0.992417494894655,1,0.881015190321843,0.778034635954582
"308","CG31121",0.565640926645654,0.796279368960264,0.926878388044939,1
"309","CG31195",0.851597137515946,0.878435358742347,1,0.991678585694005
"310","CG31224",0.475314579712052,0.587176248402173,0.896176851038539,1
"311","CG31475",1,0.888572512400795,0.39681514320978,0.373554696898563
"312","CG31522",1,0.608839469312936,0.457573826697814,0.459337596011003
"313","CG31635",1,0.793317017358805,0.670680126069782,0.678481131500894
"314","CG31637",0.752100871020063,0.83351212145537,1,0.960229205404365
"315","CG31650",0.781090283283368,0.837203790318549,0.991506978532845,1
"316","CG3168",0.516635045869846,0.548632740328478,0.77322839763089,1
"317","CG31694",0.785179889563568,0.833413312829708,0.972005425348974,1
"318","CG31710",0.351499616996811,0.532183543216243,0.74167613510137,1
"319","CG31798",1,0.424210148861832,0.170868666615195,0.192510428887881
"320","CG31817",0.353134023712585,0.402388161134326,0.646001583267437,1
"321","CG31869",0.367024344665622,0.452135991259631,0.629454141998045,1
"322","CG32066",0.711030133921576,0.794351848857883,0.870449229369267,1
"323","CG3223",0.747151239637557,0.822916720239243,0.908735501183987,1
"324","CG32276",0.804901715807087,0.883264621316475,0.938156494593415,1
"325","CG32365",1,0.49486822639833,0.596278649533767,0.859987780991232
"326","CG32369",1,0.41317743228548,0.216188960896562,0.158144415736033
"327","CG32373",1,0.899209277090324,0.631268198659261,0.584119431394006
"328","CG32425",0.915024440114017,1,0.876786926760683,0.779065991155022
"329","CG32447",0.19480431875094,0.348143841095468,0.896052271974783,1
"330","CG32473",0.99116207747585,1,0.848548892242816,0.857853728919757
"331","CG32521",1,0.86437501653582,0.661902660816003,0.642565100018798
"332","CG32694",1,0.397418240835964,0.191879722493303,0.198778493408272
"333","CG32772",1,0.934900204567656,0.82195808007791,0.731171838661833
"334","CG32793",0.0203048494784506,0.0782469822968783,1,0.975284947480747
"335","CG32982",1,0.988169701092895,0.797141823162551,0.789590726617299
"336","CG3308",1,0.844702973840768,0.683208097661132,0.577867422596969
"337","CG33099",1,0.920884050863002,0.62078967912503,0.589643237431431
"338","CG33110",0,0.0460369781334331,0.727514555019265,1
"339","CG33144",1,0.897162737153831,0.800593861126352,0.820026340493962
"340","CG33181",1,0.870835024230562,0.768311409555594,0.712019112075353
"341","CG33298",1,0.997023918899626,0.834126509298591,0.723059752647648
"342","CG33939",0.0482031456446013,0.303742003840223,0.753853371710283,1
"343","CG3402",1,0.876310214880118,0.655353613029208,0.525293574029496
"344","CG34038",0.476155535365293,0.793951496198702,1,0.917618771327379
"345","CG34120",1,0.822636927536108,0.356094290620616,0.19438802440543
"346","CG34165",0.179337018596035,0.258563869688534,0.650650285702986,1
"347","CG34325",1,0.649691303937114,0.387122275772419,0.464834056510801
"348","CG34347",0.500625851859296,0.640112096118059,0.899499670462084,1
"349","CG34398",0.730881302453062,0.747598175691023,0.80073226211384,1
"350","CG3548",0.81216321119976,0.851116285194218,1,0.958480363242909
"351","CG3587",0.165348754124076,0.21936193490737,0.724741636337985,1
"352","CG3588",1,0.585787503031457,0.354668236608489,0.353501059572341
"353","CG3649",0.508480439540064,0.883157980400917,0.891637657332169,1
"354","CG3744",1,0.999533810351557,0.850549675201289,0.821538073803379
"355","CG3777",0.998893630885836,1,0.616384104625409,0.631962072799027
"356","CG3823",0.055839312467578,0.203653880038578,0.888516421738066,1
"357","CG3857",0.597862254591385,0.733961215589452,0.962157601985618,1
"358","CG3880",1,0.983420009998787,0.742764203954363,0.802187790882133
"359","CG3902",1,0.772167842626295,0.709817094675869,0.703687294699352
"360","CG4022",0.800986338524438,0.834329316761929,0.911240933406155,1
"361","CG4036",1,0.834058900908759,0.657944578091005,0.583234013844911
"362","CG4080",0.646223941960814,0.730329645997359,0.870297085912713,1
"363","CG4199",1,0.949330192936448,0.725692118927501,0.741339589802322
"364","CG42232",1,0.899407065557262,0.769607401109522,0.734796376365539
"365","CG42238",1,0.789191792091536,0.624901691336703,0.702225747301043
"366","CG42240",0.565743222879534,0.628675932191976,0.885361105999391,1
"367","CG42514",1,0.806976169669445,0.601147713779605,0.456429937067394
"368","CG42588",0.777232589080662,0.787527667668031,0.949231364824583,1
"369","CG42668",1,0.847756223995094,0.57723202614842,0.542603801245906
"370","CG42709",1,0.94538277102693,0.379504760629399,0.345214404917002
"371","CG42741",0.466063825278108,0.70616880361614,1,0.946942602084199
"372","CG42747",0.650090691154283,0.775030985346958,0.774038096932947,1
"373","CG42748",1,0.91045053080534,0.840495882054669,0.855162693993709
"374","CG42806",1,0.792491015313835,0.629980979443218,0.496083772650673
"375","CG43051",1,0.882321150840524,0.560187473799796,0.525677023939021
"376","CG43218",0.0151121340799803,0.0726378639405835,0.9430991185487,1
"377","CG4324",1,0.744853064403991,0.663152669948097,0.557760406932089
"378","CG43394",1,0.962017574869095,0.764062578222623,0.556418559417747
"379","CG4360",0.809711587657474,0.869868550854941,0.948259047098989,1
"380","CG4374",1,0.690255874003074,0.412326511036905,0.457397005002637
"381","CG4382",1,0.594526276891071,0.289511005450513,0.332566957019293
"382","CG43861",1,0.396606408471107,0.636464407374133,0.839429724435321
"383","CG43867",0.55272549586431,0.624051290450537,0.817437612264763,1
"384","CG43897",1,0.816484236398978,0.619053688440833,0.592217340596481
"385","CG43980",0.351169433715658,0.558941480751523,0.876318855062744,1
"386","CG44004",0.0629455798884529,0.359872847722921,0.787268831823607,1
"387","CG4404",1,0.411472229183372,0.111835389942475,0.0749952009383851
"388","CG44098",0.104498569070426,0.119043340703753,0.951004062938795,1
"389","CG44325",1,0.938235611413849,0.788062241728805,0.786233958702753
"390","CG4496",0.376675691617584,0.557651262335012,0.938179391626478,1
"391","CG4502",0.726104725873789,0.759500348640123,0.887979746233468,1
"392","CG45050",0.606844141829138,0.765100146154266,0.959204230960137,1
"393","CG45071",1,0.642127043379084,0.553991439232797,0.391155631612122
"394","CG4554",0.653448301494673,0.858716859535302,1,0.882084477436253
"395","CG4576",0.110718369495761,0.247212948729562,0.847247610053518,1
"396","CG4586",0.0261516211503147,0.0836887297299388,0.658451959521228,1
"397","CG4612",0.828255273038804,0.841710821040463,1,0.957904294801433
"398","CG46339",1,0.876609492172408,0.671937005617162,0.762002597311334
"399","CG46385",1,0.490677759043497,0.110988885999878,0.117301123752679
"400","CG4658",1,0.91029203121984,0.779554768290878,0.756319151651774
"401","CG4766",0.636152265677082,0.732274952197524,1,0.715990157997556
"402","CG4839",1,0.537942283621457,0.191512203607902,0.116866974200734
"403","CG4849",1,0.977614486224446,0.900745049584431,0.791581743614222
"404","CG4911",0.762710454990462,0.778652944115758,0.98141245545775,1
"405","CG4914",0.215937174230011,0.419296096833594,0.825886031684174,1
